chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label,name
0.332672386,0.068169832,1232.221839,1721.763796,2519.036319,0.048965224,-240.2170157,140.6498369,0.40631909,35.54839085,13.7395939,6.085194259,2.552269132,4.41672221,-0.838464434,-0.726700333,-4.676397807,-1.29090043,-2.901910293,-1.890135549,-2.821724331,4.226738974,-2.767381787,3.775820388,-1.826673413,0.107580914,nonprog,AliFarkaTourewithRyCooder-TalkingTimbuktu-10-Diaraby.mp3
0.32857516,0.163667083,1670.417329,2136.751342,3727.564247,0.052893667,-146.0809143,104.4400889,7.069640478,52.65611816,2.110182424,7.740178437,-1.265386631,5.481293987,-0.749321989,4.677443138,-2.261272716,10.21176616,-7.735671701,2.175234185,-7.931344135,0.790832833,-3.180676166,-1.448279211,-2.558631427,1.300369903,nonprog,08-Asmarina(MyAsmara).mp3
0.299798061,0.077062771,1852.561838,2110.983498,3593.156634,0.094052106,-200.9856884,114.5011873,-5.982645995,26.41606372,3.739040801,1.384113323,8.160848739,-4.772604215,-0.721737145,-0.440180355,-5.02709526,1.199171261,-5.93958584,1.936033954,-4.579561504,2.222933078,-3.40214985,1.127547275,-5.478667474,2.199205198,nonprog,"13-SoLong,Farewell.mp3"
0.290894252,0.037899055,1181.167381,1453.28514,2088.84141,0.061879047,-333.789541,124.0832148,-3.136685829,7.870768302,-0.112833894,-0.419063187,-3.099995114,-4.307363834,-4.25560126,-4.992067321,-4.889481668,-3.503372285,-5.329791867,-3.13571183,-3.550739168,-3.945972631,-5.011945299,-3.292065106,-2.704408481,-2.702936475,nonprog,04-InvisibleLimits.mp3
0.282174445,0.089568391,1640.813261,1325.126286,3099.390313,0.110068327,-189.4493765,146.7195591,-74.72236576,42.30265204,-16.8147514,-7.927414315,14.84632114,-17.38743428,5.01139508,4.77356282,3.571568529,10.55432455,1.830904278,3.887255673,2.533576999,-1.801484457,-0.020379029,-1.560256203,-1.938368469,3.786768508,nonprog,TheSupreme(VolII)-M.S.Subbulakshmi-09-MereToGiridhar.mp3
0.419340282,0.086551793,2404.480691,2268.334634,4922.842909,0.126008545,-132.9778853,88.69229644,-25.24315573,20.11675314,-4.529971305,18.00597115,-14.60101993,11.03004306,-4.460342324,9.406791723,0.724533244,1.575741798,-1.007059696,2.214755573,-0.949228646,1.532657662,-3.162379815,1.325953769,-5.483038965,-1.090952857,nonprog,1984_Prince_When_Doves_Cry.mp3
0.27260333,0.105654791,1627.861519,1931.187823,3329.827418,0.074704779,-148.8884287,125.2960152,-12.81996311,27.0499405,-3.209323336,9.240296193,-4.954061146,5.838553171,-5.632187525,0.193407433,-4.333887162,-0.584227112,-5.17196025,-0.908504052,-4.209502163,-0.140812016,-5.916488583,2.760643788,-4.190708069,-0.378564764,nonprog,02-AdagioinCMinor.mp3
0.452472603,0.116418593,2837.317468,2647.817538,5867.575688,0.130734697,-130.5119391,60.79051139,3.804728715,27.37966439,-0.771141776,17.59426408,-1.024314695,9.2896439,3.224960933,6.838909326,2.61956533,3.932240569,-0.507024888,4.321241869,-0.699149502,3.52003352,-1.951740517,3.521831854,-0.635543007,1.176595704,nonprog,1989_Milli_Vanilli_Girl_You_Know_It's_True.mp3
0.306583251,0.102340117,940.8257455,988.1744284,1797.566504,0.053976556,-250.8917496,184.7108394,-38.86148241,39.25859526,17.60806113,-7.098394465,16.16230798,-11.31838428,-10.40447468,-5.488082089,-9.508739944,-3.930820009,-7.409331922,-3.418444298,-0.99724171,-1.824219381,-1.01234407,-3.413346147,0.139910788,0.919399483,nonprog,1940_Tommy_Dorsey_I'll_Never_Smile_Again.mp3
0.394431389,0.332073867,2170.156634,2279.000228,4583.227178,0.097065936,-9.426876363,98.61298885,-9.461893999,30.89944459,-0.825845474,15.37482737,-5.351103855,6.930083829,-1.886615681,9.380356545,-4.869888318,7.239626168,-3.397734208,1.134143502,-3.128924415,0.428762654,-4.576817764,0.888600867,-5.459663189,-2.019097629,prog,01-amywinehouse-rehab.mp3
0.330894991,0.14811413,1884.092099,2127.343569,3959.232134,0.081388615,-139.3558286,106.2911405,-0.023574902,28.08578236,8.11697142,3.141232096,-5.741969859,0.629137754,-2.783202157,0.081258027,-4.029789393,2.915261255,-3.285593249,-2.660167445,-4.76037223,-1.246120055,-7.967408634,-2.420872182,-4.473997094,-2.148879602,prog,11BetterMan.mp3
0.3869775,0.080412962,2881.396627,2579.709948,5856.232214,0.157056083,-147.5361983,64.93211534,-4.219717835,36.59643823,3.369339295,14.90852592,3.586468989,7.610640268,1.000281584,6.782235957,-6.460133846,4.332317626,-0.494771959,4.861994937,-3.51590939,3.344573505,-1.810249432,4.692919725,-1.288157067,1.293534717,prog,01_-_ace_of_wands_320_lame_cbr.mp3
